gene,inMod
ENSDARG00000103405,0
ENSDARG00000098958,0
ENSDARG00000104704,0
ENSDARG00000104942,0
ENSDARG00000104964,0
ENSDARG00000098357,0
ENSDARG00000099597,0
ENSDARG00000101229,0
ENSDARG00000100477,0
ENSDARG00000100207,0
ENSDARG00000096205,0
ENSDARG00000087070,0
ENSDARG00000087788,0
ENSDARG00000100124,0
ENSDARG00000098986,0
ENSDARG00000102358,0
ENSDARG00000104423,0
ENSDARG00000103755,0
ENSDARG00000105106,0
ENSDARG00000104850,0
ENSDARG00000091176,0
ENSDARG00000103604,0
ENSDARG00000100040,0
ENSDARG00000093665,0
ENSDARG00000086041,0
ENSDARG00000090116,0
ENSDARG00000093220,0
ENSDARG00000096456,0
ENSDARG00000091686,0
ENSDARG00000096461,0
ENSDARG00000092583,0
ENSDARG00000094459,0
ENSDARG00000092596,0
ENSDARG00000101960,0
ENSDARG00000102370,0
ENSDARG00000099561,0
ENSDARG00000101851,0
ENSDARG00000102542,0
ENSDARG00000099063,0
ENSDARG00000103346,0
ENSDARG00000103441,0
ENSDARG00000103689,0
ENSDARG00000105173,0
ENSDARG00000098390,0
ENSDARG00000098170,0
ENSDARG00000100112,0
ENSDARG00000098515,0
ENSDARG00000102041,0
ENSDARG00000103894,0
ENSDARG00000098270,0
ENSDARG00000087837,0
ENSDARG00000096134,0
ENSDARG00000074193,0
ENSDARG00000094017,0
ENSDARG00000093165,0
ENSDARG00000088836,0
ENSDARG00000090947,0
ENSDARG00000094558,0
ENSDARG00000096000,0
ENSDARG00000095993,0
ENSDARG00000095440,0
ENSDARG00000092197,0
ENSDARG00000102681,0
ENSDARG00000068841,0
ENSDARG00000089875,0
ENSDARG00000087714,0
ENSDARG00000087518,0
ENSDARG00000094175,0
ENSDARG00000078167,0
ENSDARG00000092471,0
ENSDARG00000086668,0
ENSDARG00000099494,0
ENSDARG00000092994,0
ENSDARG00000086296,0
ENSDARG00000090840,0
ENSDARG00000096155,0
ENSDARG00000090769,0
ENSDARG00000091994,0
ENSDARG00000096217,0
ENSDARG00000096107,0
ENSDARG00000088861,0
ENSDARG00000096012,0
ENSDARG00000096216,0
ENSDARG00000105306,0
ENSDARG00000102848,0
ENSDARG00000098569,0
ENSDARG00000101450,0
ENSDARG00000099829,0
ENSDARG00000101689,0
ENSDARG00000101695,0
ENSDARG00000102804,0
ENSDARG00000095121,0
ENSDARG00000105570,0
ENSDARG00000098796,0
ENSDARG00000098582,0
ENSDARG00000104335,0
ENSDARG00000104918,0
ENSDARG00000103790,0
ENSDARG00000104638,0
ENSDARG00000098789,0
ENSDARG00000104917,0
ENSDARG00000100645,0
