kegg	gene
dre00240	570478
dre00240	571834
dre00240	572258
dre00240	58120
dre00240	678543
dre00240	692256
dre00240	791647
dre00240	796456
dre00240	796803
dre00240	798022
dre00240	798259
dre00240	799449
dre00240	81540
dre00250	100000775
dre00250	100038790
dre00250	100148522
dre00250	100329827
dre00250	192305
dre00250	266992
dre00250	317737
dre00250	334431
dre00250	335974
dre00250	336473
dre00250	337166
dre00250	373092
dre00250	378441
dre00250	378968
dre00250	393423
dre00250	394133
dre00250	394138
dre00250	402904
dre00250	403086
dre00250	406330
dre00250	406688
dre00250	407989
dre00250	436603
dre00250	447815
dre00250	447864
dre00250	550403
dre00250	550502
dre00250	555623
dre00250	557232
dre00250	564147
dre00250	564746
dre00250	564754
dre00250	565235
dre00250	566165
dre00250	567861
dre00250	569945
dre00250	572027
dre00250	619269
dre00250	79378
dre00250	799963
dre00260	100141496
dre00260	100144628
dre00260	100331020
dre00260	100331665
dre00260	266799
dre00260	266987
dre00260	321621
dre00260	321928
dre00260	322055
dre00260	322228
dre00260	323107
dre00260	327165
dre00260	327512
dre00260	334197
dre00260	394021
dre00260	394103
dre00260	399479
dre00260	402822
dre00260	402985
dre00260	402994
dre00260	403338
dre00260	404730
dre00260	405800
dre00260	406528
dre00260	431723
dre00260	436603
dre00260	436852
dre00260	436903
dre00260	450000
dre00260	497183
dre00260	541329
dre00260	541429
dre00260	550524
dre00260	558050
dre00260	558601
dre00260	563642
dre00260	565385
dre00260	570678
dre00260	572733
dre00260	606663
dre00260	619259
dre00260	619269
dre00260	64607
dre00260	64608
dre00260	79378
dre00260	796865
dre00270	100002302
dre00270	266987
dre00270	30430
dre00270	30496
dre00270	30497
dre00270	30659
dre00270	317744
dre00270	321084
dre00270	322055
dre00270	322228
dre00270	323329
dre00270	324079
dre00270	326857
dre00270	333974
dre00270	334195
dre00270	335715
dre00270	335974
dre00270	337166
dre00270	337412
dre00270	337599
dre00270	378847
dre00270	387530
dre00270	393526
dre00270	393714
dre00270	394009
dre00270	394240
dre00270	399662
